split,trade_date,control_set,available_controls,n,raw_ic,residual_ic,score_coef_after_controls
test,20250124,size_liquidity,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_amount_20d_mean",90,0.019760414707588683,0.01381701687572398,0.0015273530715706782
test,20250124,full_style,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_turnover_20d_mean,lag1_ret_20d_std,lag1_ret_60d_std,lag1_ret_20d,lag1_ret_60d_mean,lag1_beta_20d,lag1_beta_60d,lag1_pb_winsor,lag1_pe_ttm_winsor",90,0.019760414707588683,-0.013704156152311889,-0.001751723690217253
test,20250124,industry_proxy_full_style,"lag1_industry_turnover_rank,lag1_industry_amount_rank,lag1_industry_pb_rank,lag1_industry_mv_rank,lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_ret_20d_std,lag1_ret_20d,lag1_beta_60d,lag1_pb_winsor",90,0.019760414707588683,-0.10371417522677041,-0.012604105516036837
test,20250127,none,,90,0.00539248335595857,0.00539248335595857,0.0005519259783104731
test,20250127,size,"lag1_log_circ_mv,lag1_log_total_mv",90,0.00539248335595857,0.016284004071410448,0.001653049106388706
test,20250127,size_liquidity,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_amount_20d_mean",90,0.00539248335595857,0.036967675679278826,0.0037695513181253064
test,20250127,full_style,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_turnover_20d_mean,lag1_ret_20d_std,lag1_ret_60d_std,lag1_ret_20d,lag1_ret_60d_mean,lag1_beta_20d,lag1_beta_60d,lag1_pb_winsor,lag1_pe_ttm_winsor",90,0.00539248335595857,0.01698335086075501,0.001995632258224627
test,20250127,industry_proxy_full_style,"lag1_industry_turnover_rank,lag1_industry_amount_rank,lag1_industry_pb_rank,lag1_industry_mv_rank,lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_ret_20d_std,lag1_ret_20d,lag1_beta_60d,lag1_pb_winsor",90,0.00539248335595857,-0.019827126876917768,-0.0023097363488336544
test,20250205,none,,90,0.09006995306002,0.09006995306002,0.010663774837076203
test,20250205,size,"lag1_log_circ_mv,lag1_log_total_mv",90,0.09006995306002,0.10308879415544542,0.012259793521267126
test,20250205,size_liquidity,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_amount_20d_mean",90,0.09006995306002,0.11085617153131619,0.012853195888433597
test,20250205,full_style,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_turnover_20d_mean,lag1_ret_20d_std,lag1_ret_60d_std,lag1_ret_20d,lag1_ret_60d_mean,lag1_beta_20d,lag1_beta_60d,lag1_pb_winsor,lag1_pe_ttm_winsor",90,0.09006995306002,0.15429856735548433,0.02099965690158815
test,20250205,industry_proxy_full_style,"lag1_industry_turnover_rank,lag1_industry_amount_rank,lag1_industry_pb_rank,lag1_industry_mv_rank,lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_ret_20d_std,lag1_ret_20d,lag1_beta_60d,lag1_pb_winsor",90,0.09006995306002,0.04693534323880014,0.006143172294705334
test,20250206,none,,92,0.011683006014393284,0.011683006014393284,0.0015038103685873978
test,20250206,size,"lag1_log_circ_mv,lag1_log_total_mv",92,0.011683006014393284,0.028682807518066483,0.0037345680341222655
test,20250206,size_liquidity,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_amount_20d_mean",92,0.011683006014393284,0.12422072454053903,0.017089876244636492
test,20250206,full_style,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_turnover_20d_mean,lag1_ret_20d_std,lag1_ret_60d_std,lag1_ret_20d,lag1_ret_60d_mean,lag1_beta_20d,lag1_beta_60d,lag1_pb_winsor,lag1_pe_ttm_winsor",92,0.011683006014393284,0.350866131928636,0.050878611849340484
test,20250206,industry_proxy_full_style,"lag1_industry_turnover_rank,lag1_industry_amount_rank,lag1_industry_pb_rank,lag1_industry_mv_rank,lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_ret_20d_std,lag1_ret_20d,lag1_beta_60d,lag1_pb_winsor",92,0.011683006014393284,0.13152082580170782,0.019646173074269285
test,20250207,none,,92,-0.02965697432548844,-0.02965697432548844,-0.0048684696971178585
test,20250207,size,"lag1_log_circ_mv,lag1_log_total_mv",92,-0.02965697432548844,-0.018284368999695766,-0.0030617462016440007
test,20250207,size_liquidity,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_amount_20d_mean",92,-0.02965697432548844,0.133464929818918,0.024834967961664102
test,20250207,full_style,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_turnover_20d_mean,lag1_ret_20d_std,lag1_ret_60d_std,lag1_ret_20d,lag1_ret_60d_mean,lag1_beta_20d,lag1_beta_60d,lag1_pb_winsor,lag1_pe_ttm_winsor",92,-0.02965697432548844,0.4472348651743059,0.07107846174570377
test,20250207,industry_proxy_full_style,"lag1_industry_turnover_rank,lag1_industry_amount_rank,lag1_industry_pb_rank,lag1_industry_mv_rank,lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_ret_20d_std,lag1_ret_20d,lag1_beta_60d,lag1_pb_winsor",92,-0.02965697432548844,0.2681829577537889,0.04823280978488278
test,20250210,none,,92,-0.06646417492487063,-0.06646417492487063,-0.005946330107575318
test,20250210,size,"lag1_log_circ_mv,lag1_log_total_mv",92,-0.06646417492487063,-0.06603219989319854,-0.005985914809453707
test,20250210,size_liquidity,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_amount_20d_mean",92,-0.06646417492487063,0.08615676331090928,0.008213043358442272
test,20250210,full_style,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_turnover_20d_mean,lag1_ret_20d_std,lag1_ret_60d_std,lag1_ret_20d,lag1_ret_60d_mean,lag1_beta_20d,lag1_beta_60d,lag1_pb_winsor,lag1_pe_ttm_winsor",92,-0.06646417492487063,0.3758552834483819,0.03229864047534369
