split,trade_date,risk_control,k,style_penalty,turnover_penalty,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,desired_turnover,filled_turnover,buy_reject_count,sell_reject_count,partial_fill_count,position_count,avg_abs_control_exposure_z,avg_abs_full_style_exposure_z
validation,20240417,industry_size,20,0.0,0.0,-0.008670753394938582,-0.008764630943892892,-0.010853984824927942,-0.007724833706434261,0.002089353881035051,-0.0010397972374586303,9.387754895430971e-05,1.4670871960878025,0.06258503263620648,0,7,43,50,0.16874301617762522,0.22166099816806564
validation,20240417,industry_size,20,0.0,0.02,-0.008111692218782579,-0.008209457113432544,-0.010853984824927942,-0.007724833706434261,0.002644527711495398,-0.00048462340699828316,9.776489464996616e-05,1.4356661705838896,0.06517659643331078,0,7,45,52,0.15925473015825753,0.21650528331286878
validation,20240417,industry_size,20,0.1,0.0,-0.012901935413356757,-0.012980038923738307,-0.010853984824927942,-0.007724833706434261,-0.002126054098810365,-0.005255205217304046,7.810351038155146e-05,1.279616537477206,0.0520690069210343,0,4,42,47,0.15544313708696825,0.2363305238288423
validation,20240417,industry_size,20,0.1,0.02,-0.012573490987614283,-0.012652524866996504,-0.010853984824927942,-0.007724833706434261,-0.0017985400420685617,-0.004927691160562243,7.903387938222032e-05,1.2742373735683827,0.05268925292148021,0,4,43,48,0.1475562176095427,0.2317219178913862
validation,20240424,none,20,0.0,0.0,0.0798854512525351,0.07980303486248749,0.08104687955615653,0.07278438583664654,-0.0012438446936690328,0.007018649025840956,8.241639004760781e-05,1.6476261105105592,0.05494426003173854,0,8,43,51,0.0,0.21721443356298809
validation,20240424,none,20,0.0,0.02,0.08000265173415094,0.0799209233233999,0.08104687955615653,0.07278438583664654,-0.0011259562327566308,0.007136537486753358,8.172841075104574e-05,1.6111158065655025,0.05448560716736382,0,8,42,50,0.0,0.2166192717885759
validation,20240424,none,20,0.1,0.0,0.0798854512525351,0.07980303486248749,0.08104687955615653,0.07278438583664654,-0.0012438446936690328,0.007018649025840956,8.241639004760781e-05,1.6476261105105592,0.05494426003173854,0,8,43,51,0.0,0.21721443356298809
validation,20240424,none,20,0.1,0.02,0.08000265173415094,0.0799209233233999,0.08104687955615653,0.07278438583664654,-0.0011259562327566308,0.007136537486753358,8.172841075104574e-05,1.6111158065655025,0.05448560716736382,0,8,42,50,0.0,0.2166192717885759
validation,20240424,industry_size,20,0.0,0.0,0.0798854512525351,0.07980303486248749,0.08104687955615653,0.07278438583664654,-0.0012438446936690328,0.007018649025840956,8.241639004760781e-05,1.6476261105105592,0.05494426003173854,0,8,43,51,0.1677351687575562,0.21721443356298809
validation,20240424,industry_size,20,0.0,0.02,0.08000265173415094,0.0799209233233999,0.08104687955615653,0.07278438583664654,-0.0011259562327566308,0.007136537486753358,8.172841075104574e-05,1.6111158065655025,0.05448560716736382,0,8,42,50,0.1668922283120656,0.2166192717885759
