split,trade_date,k,keep_multiplier,keep_rank,cost_bps,daily_count,top_turnover,bottom_turnover,long_short_turnover,top_transaction_cost,bottom_transaction_cost,long_short_transaction_cost,top_return_gross,top_return_net,bottom_return_gross,bottom_short_return_net,long_short_gross,long_short_net,benchmark_return,universe_equal_return,top_excess_vs_benchmark_net,top_excess_vs_universe_net
test,20260204,20,2.0,40,10.0,74,0.3999999999999999,0.6,1.0,0.0003999999999999,0.0006,0.001,0.0064421532964231,0.0060421532964231,0.0293332407137938,-0.0299332407137938,-0.0228910874173706,-0.0238910874173706,-0.0080868127178533,0.009441159493258,0.0141289660142765,-0.0033990061968349
test,20260211,20,2.0,40,10.0,74,0.8000000000000002,0.7000000000000001,1.5000000000000002,0.0008,0.0007,0.0015,0.0451032708312175,0.0443032708312175,0.0084073400100717,-0.0091073400100717,0.0366959308211458,0.0351959308211458,0.0183415393727932,0.0215221092588125,0.0259617314584243,0.022781161572405
test,20260226,20,2.0,40,10.0,75,0.3,0.3999999999999999,0.7,0.0003,0.0003999999999999,0.0006999999999999,-0.0523154145522008,-0.0526154145522008,-0.0649322430098392,0.0645322430098392,0.0126168284576384,0.0119168284576384,-0.0382791263200406,-0.0556141709816977,-0.0143362882321602,0.0029987564294968
test,20260305,20,2.0,40,10.0,76,0.6,0.2,0.8,0.0006,0.0002,0.0007999999999999,0.0455265377253003,0.0449265377253003,0.0281685212801055,-0.0283685212801055,0.0173580164451948,0.0165580164451948,0.0312667385424401,0.0267916544561992,0.0136597991828602,0.0181348832691011
test,20260312,20,2.0,40,10.0,76,0.7000000000000001,0.6,1.3,0.0007,0.0006,0.0013,-0.0154341503507252,-0.0161341503507252,-0.0411597066005371,0.0405597066005371,0.0257255562498118,0.0244255562498118,-0.0025377974075533,-0.0314427287008332,-0.0135963529431719,0.0153085783501079
test,20260319,20,2.0,40,10.0,76,1.0000000000000002,0.4999999999999999,1.5000000000000002,0.001,0.0004999999999999,0.0015,-0.0319746233992973,-0.0329746233992973,-0.0401029881246971,0.0396029881246971,0.0081283647253998,0.0066283647253998,-0.0110650217537785,-0.0295284764808484,-0.0219096016455188,-0.0034461469184488
test,20260326,20,2.0,40,10.0,82,0.8000000000000002,0.6,1.4,0.0008,0.0006,0.0014,-0.0061805404384215,-0.0069805404384215,-0.0460098928956118,0.0454098928956118,0.0398293524571903,0.0384293524571903,-0.0305084693969848,-0.0178120364771498,0.0235279289585632,0.0108314960387282
test,20260402,20,2.0,40,10.0,81,0.6,0.4999999999999999,1.1,0.0006,0.0004999999999999,0.0010999999999999,0.0912795425713499,0.0906795425713499,0.0615320251425224,-0.0620320251425224,0.0297475174288275,0.0286475174288275,0.0870369099087973,0.0630125750730415,0.0036426326625526,0.0276669674983084
test,20260410,20,2.0,40,10.0,82,0.9000000000000002,0.3999999999999999,1.3000000000000005,0.0009,0.0003999999999999,0.0013,0.0512258255077709,0.0503258255077709,0.0356297335110013,-0.0360297335110013,0.0155960919967695,0.0142960919967695,0.0665469917394145,0.0395317005889073,-0.0162211662316436,0.0107941249188635
test,20260417,20,2.0,40,10.0,82,0.3999999999999999,0.4999999999999999,0.8999999999999999,0.0003999999999999,0.0004999999999999,0.0008999999999999,0.0127271095613395,0.0123271095613395,0.0059696350098616,-0.0064696350098616,0.0067574745514778,0.0058574745514778,-0.0028568411644378,0.0041940259983169,0.0151839507257774,0.0081330835630226
test,20260424,20,2.0,40,10.0,81,0.7000000000000001,0.3999999999999999,1.1,0.0007,0.0003999999999999,0.0011,0.0668343775034703,0.0661343775034703,0.0157755580619197,-0.0161755580619197,0.0510588194415505,0.0499588194415505,0.0300929299265653,0.0338044814783432,0.036041447576905,0.0323298960251271
test,20260506,20,2.0,40,10.0,78,1.0000000000000002,0.9000000000000002,1.9000000000000004,0.001,0.0009,0.0019,0.0640685641721316,0.0630685641721316,0.0303648858619044,-0.0312648858619044,0.0337036783102272,0.0318036783102272,0.068862418328289,0.0518374805675133,-0.0057938541561574,0.0112310836046182
test,20260513,20,2.0,40,10.0,79,0.3,0.3999999999999999,0.7,0.0003,0.0003999999999999,0.0006999999999999,-0.016566409824127,-0.016866409824127,-0.0010300848994931,0.0006300848994931,-0.0155363249246338,-0.0162363249246338,-0.0288592616452824,-0.0225237751874714,0.0119928518211553,0.0056573653633444
