split,trade_date,k,num_buckets,k_per_bucket,rotated_bucket,daily_count,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,filled_turnover,desired_turnover,position_count,buy_rejects,sell_rejects,active_buckets,portfolio_nav
test,20251107,30,5,6,1,90,-0.041462297205414306,-0.04155582090345623,-0.030141053611369095,-0.02025847869590588,-0.011414767292087132,-0.021297342207550345,9.352369804192279e-05,0.06234913202794853,1.791519117801442,102,0,2,5,10000000.0
test,20251110,30,5,6,2,90,-0.03920501023693322,-0.03930040426976525,-0.023160680140147383,-0.02311127743363284,-0.016139724129617866,-0.016189126836132408,9.539403283202726e-05,0.06359602188801818,1.8388381252484878,103,0,3,5,10000000.0
test,20251111,30,5,6,3,90,-0.027466012582735077,-0.027551738710639137,-0.020768902075250395,-0.017672087149966077,-0.006782836635388742,-0.00987965156067306,8.572612790405956e-05,0.05715075193603971,1.840267182689987,105,0,3,5,10000000.0
test,20251112,30,5,6,4,90,-0.01485843215906473,-0.014967688458673238,-0.014471944028671024,-0.017396235532025864,-0.0004957444300022137,0.0024285470733526257,0.0001092562996085089,0.07283753307233927,1.7986309985395375,106,0,3,5,10000000.0
test,20251113,30,5,6,0,89,-0.03825659500751954,-0.038332408945300246,-0.049789277975669344,-0.035302374903500064,0.011456869030369098,-0.0030300340418001823,7.581393778071139e-05,0.05054262518714092,1.7958077664700742,107,0,3,5,10000000.0
test,20251114,30,5,6,1,91,-0.05068823454792208,-0.05075133233674231,-0.061522985485811255,-0.0637151750411921,0.010771653149068944,0.012963842704449793,6.30977888202302e-05,0.04206519254682013,1.7889224662297256,107,0,2,5,10000000.0
test,20251117,30,5,6,2,91,-0.03856044876197927,-0.038641043812164974,-0.05673074427266178,-0.048091243334236596,0.018089700460496808,0.009450199522071621,8.059505018570266e-05,0.053730033457135104,1.808337347782341,106,0,3,5,10000000.0
test,20251118,30,5,6,3,90,-0.043163270839759946,-0.043218234494860945,-0.028764999415486492,-0.029270825485234096,-0.014453235079374453,-0.013947409009626849,5.4963655101e-05,0.036642436734,1.8118348582404535,108,0,4,5,10000000.0
test,20251119,30,5,6,4,91,-0.0313364825123094,-0.03141521710036474,-0.010449241970314271,-0.02950635267936697,-0.020965975130050468,-0.001908864420997771,7.873458805533477e-05,0.05248972537022318,1.7369636047903743,108,0,3,5,10000000.0
test,20251120,30,5,6,0,91,-0.007565963109240544,-0.007653496854562102,-0.00363042849311479,0.004657519721505915,-0.004023068361447312,-0.012311016576068017,8.753374532155825e-05,0.05835583021437216,1.7826015570643576,107,0,3,5,10000000.0
